location_id,city,location_type,monthly_rent,avg_daily_foottraffic,opening_date,size_sqft
LOC_001,New York,Mall,8126,579,2022-12-15,1930
LOC_002,Chicago,Street,6095,388,2022-01-21,921
LOC_003,Los Angeles,Street,5466,274,2022-03-29,1923
LOC_004,New York,Standalone,4871,251,2022-05-11,1569
LOC_005,New York,Standalone,4343,257,2022-10-21,1185
LOC_006,Houston,Mall,8215,587,2022-10-04,1984
LOC_007,New York,Mall,7459,457,2022-01-22,1052
LOC_008,Los Angeles,Street,5747,288,2022-02-18,1274
LOC_009,Miami,Standalone,5082,269,2022-07-07,1775
LOC_010,New York,Standalone,5806,289,2022-06-24,1757
LOC_011,Los Angeles,Standalone,4562,207,2022-02-24,1631
LOC_012,Houston,Street,6528,330,2022-11-03,1446
LOC_013,Houston,Standalone,4020,172,2022-06-16,1187
LOC_014,Chicago,Mall,7600,459,2022-01-14,1041
LOC_015,Los Angeles,Airport,11776,1189,2022-02-22,1697
LOC_016,Chicago,Food Court,4363,791,2022-09-21,834
LOC_017,Los Angeles,Street,5205,280,2022-02-19,1825
LOC_018,Chicago,Mall,8021,533,2022-02-23,1929
LOC_019,New York,Airport,12795,1153,2022-07-10,1201
LOC_020,New York,Food Court,3729,743,2022-06-11,1001
LOC_021,Chicago,Standalone,5981,113,2022-12-17,1615
LOC_022,Chicago,Mall,8294,599,2022-08-03,1816
LOC_023,Houston,Standalone,5725,139,2022-08-01,1519
LOC_024,New York,Airport,12772,1181,2022-02-22,1591
LOC_025,New York,Standalone,5945,287,2022-02-10,1980
LOC_026,Chicago,Standalone,4014,144,2022-03-06,1320
LOC_027,Chicago,Standalone,5367,228,2022-05-16,1886
LOC_028,Los Angeles,Mall,8162,480,2022-06-12,1218
LOC_029,New York,Street,5288,322,2022-09-18,1030
LOC_030,Chicago,Mall,8017,440,2022-01-28,934
LOC_031,Los Angeles,Mall,7200,471,2022-09-25,1729
LOC_032,Houston,Food Court,4056,747,2022-03-03,1604
LOC_033,Houston,Food Court,3098,871,2022-12-26,1525
LOC_034,Los Angeles,Food Court,4570,892,2022-08-15,1412
LOC_035,Chicago,Street,6966,330,2022-09-14,1828
LOC_036,Chicago,Mall,8241,541,2022-12-25,1594
LOC_037,Miami,Street,5392,214,2022-12-12,1691
LOC_038,Miami,Street,6484,378,2022-03-04,1663
LOC_039,Los Angeles,Airport,11742,1151,2022-04-06,1284
LOC_040,Houston,Food Court,4430,842,2022-06-20,1340
LOC_041,Miami,Street,6059,212,2022-06-09,1909
LOC_042,Chicago,Mall,8819,465,2022-06-19,1356
LOC_043,Los Angeles,Mall,8597,584,2022-05-14,1595
LOC_044,Chicago,Airport,12051,1207,2022-02-13,989
LOC_045,Chicago,Mall,8248,528,2022-10-10,1432
LOC_046,Los Angeles,Standalone,4627,102,2022-12-25,1509
LOC_047,Chicago,Street,6479,354,2022-05-17,1117
LOC_048,Houston,Airport,12700,1150,2022-08-22,1483
LOC_049,Houston,Street,5663,258,2022-06-09,1936
LOC_050,Chicago,Street,6853,385,2022-02-21,1936
